LOAN_ID,NMONTHS,FORECLOSURE
CECAFEFJCHJJ,74.226,0
HEEEFFEIBBBC,87.685,0
FCECGHDEDIFI,26.963,0
HGJEBBFICHDC,33.754,0
DFFCAJAJFCII,77.955,0
GHHBGFHBGHFF,89.998,0
JAGICEGJGBHC,27.1,0
FFGCGJDFHCDC,36.817,0
AIECBDDFCCCF,64.706,0
JIIBBIFCBCFE,25.537,0
JBEFFDECHJEB,90.522,0
JEFIFJHEEHDF,63.767,0
FHEFBAGEIFHC,36.383,0
IEECHIJBHHAE,81.221,0
HCFHIDJCAAJG,89.349,0
JCDEABJDDIBB,31.59,0
HBJIDIECHACG,67.239,0
FHIFIJABACBC,98.051,0
AFAJDCIIHDCJ,78.235,0
DAIIIFJGEIJC,46.092,0
AHIGBEIJEDGH,91.918,0
AFJEDJFCFJHD,50.706,0
CJADGGDJIIJE,79.585,1
ABJBCJJEFBCG,90.607,0
EBBHAGIEDDAH,55.954,0
CEIBEIAACFCI,85.115,0
GEJCEDIJGDDD,14.417,0
DEGABGEJDAFA,80.875,0
GFBJADCIHHFC,89.347,0
FEAHICCGHEAC,92.639,0
JCFGFBFGGCJA,19.741,0
FCGHJDBHCJDA,81.744,0
EJAGDHAHCHCB,32.033,0
AFBFHAFADBFH,76.872,0
DEEAHDJIBIIG,83.729,0
AJCBGDDCFJGB,51.076,0
FJJHJJCIJJHA,44.202,0
AJAGFFHJEGFJ,66.358,0
AJGGGBIIHECC,89.96,0
EEDJFDHBHDAF,26.635,0
DHFFAHGFGFFD,34.044,0
EDBHFCGHBDCA,86.504,0
ICFCCBIIEIFE,56.831,0
HBGEFAFDDJII,60.954,0
IEGJDCJHIBIG,10.52,0
GDDEFHFIBIAH,100.543,0
DEJBGABDBGBH,57.939,0
CGEABBGEHBBI,83.561,0
FDDGCCFHCJGD,94.015,0
CGEFEGIFGFBJ,82.765,0
HGCBGIDEBDAE,36.057,0
IHGIFHEGHDFA,27.689,0
DAJIJJICACGD,65.458,0
FCEAABHIJCAA,40.006,0
GJHEHHGEGBJE,30.027,0
DJDGIFAADAEF,101.58,0
AEDHCHJIBHDH,12.286,0
GIGIIFCGDGFG,78.762,0
HDEAHBIGECEH,89.584,0
EJCDGEHGJDAH,45.576,0
EGIDGIJBHJIF,43.515,0
AECDGBIDEFAF,32.061,0
IEICJHDDEBCJ,6.217,0
EDBJBJGBBHEG,32.89,0
EEAJAHFDIIAA,33.919,0
JJHJBJHEHAID,14.801,0
GAIJBCJFHFHF,72.089,0
DCBHCJEAGBIE,33.058,0
HDJAEBFBJCJH,32.719,0
EEGCACGJHCBE,32.466,0
EDHGEHDIHFAG,22.072,0
DIGICCFHEECE,62.263,0
HGHBGBGJJFJA,65.144,0
JEIJJIADEGBA,30.573,0
JEEIGBJGADBG,50.963,0
CHADFIICHFGH,59.388,0
HGCJAFAHDHIF,74.564,0
JHJEIDBCEJFH,87.785,0
CFACEAICFGDJ,83.971,0
GHJAIBABEFIE,33.631,0
HFGIECDBAHIC,100.23,0
CIEBBAEGHDCF,32.398,0
CFBBDHCDBCAI,77.82,0
JIBAGGIIDEAE,48.132,0
AECGBHHHHDCB,40.294,0
DIFDEBGIHHCA,45.769,0
JHGFEDBAEJFF,16.541,0
JDBEFDAGDEHH,36.762,0
CBCFBCIGGJJD,91.532,0
HICCIHFBDEDI,75.41,0
EAIACBHBAIEG,23.813,0
GGCHIHFDEGCF,88.678,0
HIIEIIAHFIJD,57.121,0
AIAICFIEEDDG,100.118,0
FAGGJIGFHEGC,70.834,0
IJGCFEGJJGED,27.833,0
FGGCECAFAGAF,100.421,0
CHHDDFGGJCCH,19.004,0
ABHJHHHFDHGG,93.304,0
FIHAIJCIIFBJ,25.247,0
GBFBBEBBGCJD,64.688,0
HIBEEGJAJHIA,80.39,0
FJFHFICICHID,39.159,0
HEEIBACEEJBF,39.887,0
HGCFHJJHEAFI,12.679,0
GAEDEDCDFHDH,48.715,1
IIHHAGAHJEGB,75.896,0
IDGECAEIHDAA,39.019,0
FDGGJAHDGBFF,25.072,0
EAGJACECBDCH,-0.287,0
CDABHCDIHEJH,45.251,0
JAHGDIBAHCCD,93.291,0
DDBCJJCAJJFE,44.787,0
AIBDEEGGIFIF,50.222,0
GHHDHECJGBJE,94.43,0
HHAJJDHHAFJA,42.26,0
CIJAJAJHCICD,62.55,0
GAHHAIJEBHJC,34.6,0
FBEEIFCAADIC,63.357,0
FEDAJABFEEFE,86.916,0
AJHBCDCIBFCE,93.21,0
GGBJAFCACGFE,82.936,0
FIBDBECDCGHJ,40.415,0
ADFICJABDDIH,74.287,0
EJHHCCEFEJJI,26.92,0
GAIBGCGIAJDJ,31.181,0
AIFBFBGHJBGF,34.615,0
FHIBDHIAHGIA,56.224,0
AEDJFIIGIADE,17.44,0
DIBFDICDFICB,76.243,0
EAEHBBHIJIDJ,55.036,0
JFFJHBCCGBGG,28.596,0
DHIFEEAHDJBA,88.668,0
JABDEHDABDBD,59.286,0
DEGABCHIAFBJ,30.405,0
IGHFHEBHIEED,68.002,0
FGCGCAEAEIBA,56.616,0
FAGGAJIBFJGH,78.959,0
DGBDJEJBEFCA,59.63,0
FIIGCGEBIACA,43.74,0
CBCAABBADHEI,35.643,0
CAGHDAEJEJCB,30.563,0
FAGHDFFFCHAG,89.279,0
FEBDBJIECGGJ,87.526,0
DEJEEHDGHBEE,64.579,0
DBCCCABHHBJC,76.23,0
FGEIJDCGIIHB,51.752,0
EECJJAAHJHFB,31.233,0
